lat,lng,severity,road_class
43.64828,-79.39661,3,Major Arterial Road
43.64854,-79.39741,3,Major Arterial Road
43.630343,-79.420645,3,Major Arterial Road
43.630426,-79.419784,3,Major Arterial Road
43.631326,-79.414466,3,Major Arterial Road
43.631114,-79.415489,3,Major Arterial Road
43.630588,-79.418625,3,Major Arterial Road
43.632435,-79.41096,3,Major Arterial Road
43.634479,-79.408712,3,Major Arterial Road
43.635272,-79.407617,3,Major Arterial Road
43.635481,-79.406714,3,Major Arterial Road
43.6301,-79.423238,3,Major Arterial Road
43.635897,-79.401986,3,Major Arterial Road
43.635747,-79.403146,3,Major Arterial Road
43.636485,-79.39965,3,Major Arterial Road
43.635737,-79.40329,3,Major Arterial Road
43.635615,-79.405087,3,Major Arterial Road
43.629971,-79.424835,3,Major Arterial Road
43.630948,-79.428167,3,Major Arterial Road
43.68969,-79.34891,3,Major Arterial Road
43.68946,-79.34882,3,Major Arterial Road
43.64218,-79.41131,3,Major Arterial Road
43.68366,-79.34664,3,Major Arterial Road
43.68433,-79.34689,3,Major Arterial Road
43.64849,-79.37762,3,Major Arterial Road
43.68401,-79.34677,3,Major Arterial Road
43.67913,-79.34396,3,Major Arterial Road
43.68447,-79.34694,3,Major Arterial Road
43.65667,-79.4067,3,Major Arterial Road
43.64816,-79.37748,3,Major Arterial Road
43.68329,-79.34649,3,Major Arterial Road
43.68452,-79.34696,3,Major Arterial Road
43.68456,-79.34698,3,Major Arterial Road
43.68481,-79.34707,3,Major Arterial Road
43.68331,-79.3465,3,Major Arterial Road
43.68118,-79.42827,3,Major Arterial Road
43.68361,-79.41603,3,Major Arterial Road
43.68639,-79.40272,3,Major Arterial Road
43.67248,-79.41739,3,Major Arterial Road
43.67391,-79.39153,3,Major Arterial Road
43.67528,-79.40177,3,Major Arterial Road
43.67257,-79.417,3,Major Arterial Road
43.6738,-79.41123,3,Major Arterial Road
43.67374,-79.41149,3,Major Arterial Road
43.67391,-79.41069,3,Major Arterial Road
43.67325,-79.41389,3,Major Arterial Road
43.67428,-79.4093,3,Major Arterial Road
43.67315,-79.41441,3,Major Arterial Road
43.67304,-79.4149,3,Major Arterial Road
43.67251,-79.41726,3,Major Arterial Road
43.67299,-79.41512,3,Major Arterial Road
43.67285,-79.41572,3,Major Arterial Road
43.67447,-79.40892,3,Major Arterial Road
43.67454,-79.40861,3,Major Arterial Road
43.67264,-79.41664,3,Major Arterial Road
43.67272,-79.41632,3,Major Arterial Road
43.67214,-79.41899,3,Major Arterial Road
43.67316,-79.41436,3,Major Arterial Road
43.67386,-79.41093,3,Major Arterial Road
43.67209,-79.4192,3,Major Arterial Road
43.67239,-79.41781,3,Major Arterial Road
43.67232,-79.41814,3,Major Arterial Road
43.67227,-79.41838,3,Major Arterial Road
43.67202,-79.41953,3,Major Arterial Road
43.67193,-79.41998,3,Major Arterial Road
43.67187,-79.42025,3,Major Arterial Road
43.67219,-79.41874,3,Major Arterial Road
43.65697,-79.35116,3,Major Arterial Road
43.67907,-79.34428,3,Major Arterial Road
43.660923,-79.391813,3,Major Arterial Road
43.6587,-79.395903,3,Major Arterial Road
43.658641,-79.396213,3,Major Arterial Road
43.658485,-79.397036,3,Major Arterial Road
43.659903,-79.39029,3,Major Arterial Road
43.659859,-79.390495,3,Major Arterial Road
43.66872,-79.394141,3,Major Arterial Road
43.661446,-79.392278,3,Major Arterial Road
43.6592,-79.393485,3,Major Arterial Road
43.659078,-79.394066,3,Major Arterial Road
43.658954,-79.394682,3,Major Arterial Road
43.658827,-79.395295,3,Major Arterial Road
43.660609,-79.391164,3,Major Arterial Road
43.660257,-79.390676,3,Major Arterial Road
43.65983,-79.390627,3,Major Arterial Road
43.663069,-79.393209,3,Major Arterial Road
43.662424,-79.392909,3,Major Arterial Road
43.667265,-79.393526,3,Major Arterial Road
43.666373,-79.393151,3,Major Arterial Road
43.665792,-79.39339,3,Major Arterial Road
43.665333,-79.39383,3,Major Arterial Road
43.665021,-79.393897,3,Major Arterial Road
43.664806,-79.393857,3,Major Arterial Road
43.664079,-79.393588,3,Major Arterial Road
43.658701,-79.389984,3,Major Arterial Road
43.65753,-79.389489,3,Major Arterial Road
43.656348,-79.388968,3,Major Arterial Road
43.6592,-79.393485,3,Major Arterial Road
43.64677,-79.37033,3,Major Arterial Road
43.64676,-79.37033,3,Major Arterial Road
43.64676,-79.37033,3,Major Arterial Road
43.64676,-79.37033,3,Major Arterial Road
43.64677,-79.37033,3,Major Arterial Road
43.64675,-79.37033,3,Major Arterial Road
43.64675,-79.37033,3,Major Arterial Road
43.64676,-79.37033,3,Major Arterial Road
43.66718,-79.40145,3,Major Arterial Road
43.67454,-79.38019,3,Major Arterial Road
43.68832,-79.38358,3,Major Arterial Road
43.66269,-79.39023,3,Major Arterial Road
43.6745,-79.40881,3,Major Arterial Road
43.636485,-79.39965,3,Major Arterial Road
43.635897,-79.401986,3,Major Arterial Road
43.635747,-79.403146,3,Major Arterial Road
43.630588,-79.418625,3,Major Arterial Road
43.635615,-79.405087,3,Major Arterial Ramp
43.635481,-79.406714,3,Major Arterial Road
43.635272,-79.407617,3,Major Arterial Road
43.635737,-79.40329,3,Major Arterial Road
43.634479,-79.408712,3,Major Arterial Road
43.632435,-79.41096,3,Major Arterial Road
43.631326,-79.414466,3,Major Arterial Road
43.630426,-79.419784,3,Major Arterial Road
43.630343,-79.420645,3,Major Arterial Road
43.6301,-79.423238,3,Major Arterial Road
43.631114,-79.415489,3,Major Arterial Road
43.629971,-79.424835,3,Major Arterial Road
43.630948,-79.428167,3,Major Arterial Road
43.636485,-79.39965,3,Major Arterial Road
43.635897,-79.401986,3,Major Arterial Road
43.635747,-79.403146,3,Major Arterial Road
43.635737,-79.40329,3,Major Arterial Road
43.635615,-79.405087,3,Major Arterial Ramp
43.635481,-79.406714,3,Major Arterial Road
43.635272,-79.407617,3,Major Arterial Road
43.634479,-79.408712,3,Major Arterial Road
43.632435,-79.41096,3,Major Arterial Road
43.631326,-79.414466,3,Major Arterial Road
43.631114,-79.415489,3,Major Arterial Road
43.630588,-79.418625,3,Major Arterial Road
43.630426,-79.419784,3,Major Arterial Road
43.630343,-79.420645,3,Major Arterial Road
43.6301,-79.423238,3,Major Arterial Road
43.629971,-79.424835,3,Major Arterial Road
43.630948,-79.428167,3,Major Arterial Road
43.631326,-79.414466,3,Major Arterial Road
43.631114,-79.415489,3,Major Arterial Road
43.630588,-79.418625,3,Major Arterial Road
43.630426,-79.419784,3,Major Arterial Road
43.630343,-79.420645,3,Major Arterial Road
43.6301,-79.423238,3,Major Arterial Road
43.629971,-79.424835,3,Major Arterial Road
43.630948,-79.428167,3,Major Arterial Road
43.636485,-79.39965,3,Major Arterial Road
43.635897,-79.401986,3,Major Arterial Road
43.635747,-79.403146,3,Major Arterial Road
43.635737,-79.40329,3,Major Arterial Road
43.635481,-79.406714,3,Major Arterial Road
43.635615,-79.405087,3,Major Arterial Ramp
