location,lat,lng,date,time_start,mode,volume
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T07:30:00,ped,63.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T07:30:00,bike,4.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T07:30:00,vehicle,180.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T07:45:00,ped,54.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T07:45:00,bike,3.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T07:45:00,vehicle,164.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:00:00,ped,89.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:00:00,bike,2.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:00:00,vehicle,186.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:15:00,ped,108.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:15:00,bike,3.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:15:00,vehicle,235.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:30:00,ped,104.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:30:00,bike,3.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:30:00,vehicle,203.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:45:00,ped,107.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:45:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T08:45:00,vehicle,203.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T09:00:00,ped,107.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T09:00:00,bike,5.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T09:00:00,vehicle,176.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T09:15:00,ped,88.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T09:15:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T09:15:00,vehicle,183.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:00:00,ped,86.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:00:00,bike,2.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:00:00,vehicle,197.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:15:00,ped,88.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:15:00,bike,0.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:15:00,vehicle,233.0
Erindale Ave / Broadview Ave / Broadview Subway Station Parkette Trl,43.6775208346087,-79.3586523529059,2020-01-08,2020-01-08T10:30:00,ped,79.0
